NAMA IPT,NEGERI ,EXCHANGE,LongLat
Kolej Cosmopoint Johor Bharu,Johor ,JB,"1.4609357,103.7643934"
Kolej Teknologi Antarabangsa Cosmopoint Cawangan Muar,Johor ,MUR,"2.0494714,102.569625"
Institut Teknologi Tun Abdul Razak (ITTAR Johor Bahru) ,Johor ,JB,"1.4840912,103.749523"
Kolej I-Systems Johor Bahru ,Johor ,JB,"1.4664925,103.7589442"
Kolej SAL ,Johor ,JB,"1.4653381,103.7609735"
Kolej Olympia Johor Bahru ,Johor ,JB,"1.4646797,103.7524254"
Kolej Poly-Tech MARA Batu Pahat ,Johor ,SGG,"1.8559616,103.0153505"
Kolej Aman Batu Pahat ,Johor ,BP,"1.8431905,102.946507"
Kolej Internasional Crescendo ,Johor ,TI,"1.5572867,103.80973"
Kolej Sunway Cawangan Johor Bahru ,Johor ,PN,"1.5594019,103.7778792"
Institut Sains Dan Teknologi Darul Takzim (INSTEDT) ,Johor ,PNW,"1.5553704,104.2255563"
Kolej Reliance Cawangan Johor Bahru ,Johor ,PGI,"1.479478,103.7632063"
Kolej Renaissance ,Johor ,PGI,"1.4806296,103.7602047"
Kolej Antarabangsa Kejururawatan dan Sains Kesihatan KPJ Cawangan Johor Bahru ,Johor ,JB,"1.4777788,103.7608021"
Kolej Pengajian Islam Johor (MARSAH) ,Johor ,TMP,"1.5043539,103.7342757"
Kolej Metropoint ,Johor ,JB,"1.4615259,103.7617972"
Kolej Omega,Johor ,JB,"1.461091,103.7622053"
Kolej Hospitaliti dan Pengurusan Malaysia,Johor ,SC,"1.5558963,103.732731"
Institut Citipro ,Johor ,JB,"1.4584282,103.763614"
Kolej Yayasan Pelajaran Johor ,Johor ,BSR,"1.7295706,103.6983703"
Kolej MDIS Malaysia ,Johor ,GH,"1.432463,103.6127687"
Institut Akauntan KTC Cawangan Johor Bahru ,Johor ,PGI,"1.5000749,103.7625536"
Institut Akauntan KTC ,Johor ,BP,"1.8549715,102.9259814"
Institut Akauntan KTC (Cawangan Kluang) ,Johor ,KU,"2.0357452,103.321333"
Institut Akauntan KTC (Cawangan Muar) ,Johor ,MUR,"2.0457966,102.5624869"
Universiti Teknologi Malaysia (UTM) ,Johor ,SC,"1.5593571,103.6363862"
Universiti Teknologi MARA (UiTM) Cawangan Johor Kampus Pasir Gudang ,Johor ,PRM,"1.5279787,103.8746638"
Universiti Teknologi MARA (UiTM) Cawangan Johor Kampus Segamat ,Johor ,SGT,"2.4879644,102.7271139"
Universiti Tun Hussein Onn Malaysia (UTHM),Johor ,PTR,"1.858626,103.0833895"
Universiti Tun Hussein Onn Malaysia (UTHM) ,Johor ,PGH,"2.1483706,102.7285851"
Newcastle University Medicine Malaysia ,Johor ,GH,"1.4293659,103.6129189"
Raffles University (RU),Johor ,JB,"1.4594,103.7624334"
Politeknik Ibrahim Sultan ,Johor ,FCB,"1.5095701,103.9180704"
Politeknik Mersing Johor ,Johor ,ME,"2.4170906,103.828157"
Politeknik METrO Johor Bahru ,Johor ,PGI,"1.5052324,103.7591076"
Politeknik Tun Syed Nasir Syed Ismail ,Johor ,PGH,"2.1557281,102.7233997"
Institut Kemahiran MARA Johor Bahru ,Johor ,TMP,"1.5013114,103.7300799"
"Institut Latihan Kementerian Kesihatan Malaysia Johor Bahru, Johor",Johor ,TMP,"1.5249033,103.7059795"
Institut Pendidikan Guru (IPG) (Kampus Temenggong Ibrahim) ,Johor ,TMP,"1.4915777,103.7376333"
Institut Pendidikan Guru (IPG) (Kampus Tun Hussein Onn) ,Johor ,BP,"1.870008,102.984615"
Institut Pertanian Ayer Hitam ,Johor ,AH,"1.9340489,103.1753606"
Kolej Vokasional Kota Tinggi ,Johor ,KTG,"1.747092,103.907385"
Kolej Kemahiran Tinggi MARA Ledang ,Johor ,SMT,"2.1702061,102.5896846"
Kolej Kemahiran Tinggi MARA Sri Gading ,Johor ,PTR,"1.850531,103.078437"
Kolej Komuniti Bandar Penawar ,Johor ,PNW,"1.562770,104.219251"
Kolej Komuniti Bandar Tenggara ,Johor ,TGA,"1.843916,103.621369"
Kolej Komuniti Batu Pahat ,Johor ,KSS,"1.8040134,102.9644334"
Kolej Komuniti Kluang ,Johor ,KU,"2.0102803,103.3095417"
Kolej Komuniti Kota Tinggi ,Johor ,KTG,"1.7311555,103.9011141"
Kolej Komuniti Ledang ,Johor ,TGK,"2.2860055,102.5590839"
Kolej Komuniti Muar ,Johor ,MUR,"2.0387767,102.5725797"
Kolej Komuniti Pagoh ,Johor ,PGH,"2.1327749,102.7164326"
Kolej Komuniti Pasir Gudang ,Johor ,PGD,"1.495310,103.912540"
Kolej Komuniti Segamat ,Johor ,SGT,"2.4943255,102.8663603"
Kolej Komuniti Segamat 2 ,Johor ,BAM,"2.5625272,102.7119077"
Kolej Komuniti Tanjung Piai ,Johor ,PTN,"1.4784348,103.3877452"
Kolej Profesional MARA Bandar Penawar ,Johor ,PNW,"1.5650726,104.2194752"
Kolej Vokasional (ERT) Azizah ,Johor ,TMP,"1.5025402,103.7348108"
Kolej Vokasional Batu Pahat ,Johor ,BP,"1.8701393,102.9835148"
Kolej Vokasional Kluang ,Johor ,KU,"2.0006696,103.3216695"
Kolej Vokasional Muar ,Johor ,MUR,"2.0603073,102.5945819"
Kolej Vokasional Segamat ,Johor ,SGT,"2.4962288,102.8582493"
Kolej Vokasional Tanjung Puteri ,Johor ,JB,"1.4713292,103.7670406"
Pusat Latihan Teknologi Tinggi (ADTEC) Batu Pahat ,Johor ,KSS,"1.7878093,102.9694861"
Kolej Universiti Selatan,,SC,"1.5337295,103.6809811"
